ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_façades,Jardin,Surface_totale_du_terrain,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Surface_habitable,Équipement_de_la_cuisine,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Terrasse_aménagée,Balcon,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Panneaux_solaires,Pompe_à_chaleur,Orientation_du_jardin,Raccordé_à_leau_courante,Meublé,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Parlophone,Raccordé_au_gaz_de_ville,Surface_du_séjour,Surface_du_bureau,Surface_de_la_véranda,Surface_de_la_cuisine,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_électrique_individuel,Domotique,Porte_daccès_sécurisée,Largeur_de_la_façade,Surface_constructible,Largeur_du_terrain_à_rue,Attestation__Citernes_à_mazout,Maison_basse_énergie,Compteur_Bihoraire,Nombre_de_douches,Étage_de_lappartement,Profondeur_du_terrain,Surface_de_la_terrasse,Surface_chambre_à_coucher_1,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Niveau_E,Surface_du_jardin,Niveau_K,Attestation__Asbuilt,Surface_des_caves,Surface_de_lades_salles_de_bain,Feu_ouvert,Orientation_de_la_terrasse,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Surface_du_grenier,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Surface_du_garage,Possibilités_pour_profession_libérale,Surface_totale,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing
https://immovlan.be/fr/detail/villa/a-vendre/9660/brakel/rbt29805,RBT29805,Villa à vendre,1950000,,9660 Brakel,Normal,Non,5,Non,Oui,Non,Non,Non,Non,Non,Oui,1,2,4,Oui,6044 m²,Oui,178 kWh/m²/an,3374217-RES-1,17/09/2034,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,2014,A l’acte,519 m²,,4,Mazout,,,,Non,,Sud,,4,Oui,,,,Non,,,,,Oui,Non,,,,,,,,,,,,62 m²,30 m²,,,,,,,,,362 m²,,,,,1,,123 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbt27225,RBT27225,Maison à vendre,349000,Gauwinkel 15,9660 Brakel,Excellent,,4,,,,Oui,,,,,,2,4,Oui,632 m²,,476 kWh/m²/an,,12/07/2024,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,A l’acte,216 m²,Super équipée,2,Mazout,Double vitrage,,,,,Nord,,3,Oui,,,,,,,,,,Non,,,Oui,,,,,,,,,40 m²,,,12 m²,,,,,,15 m,,15 m,,,,1,,,60 m²,24 m²,,,18 m²,12 m²,24 m²,10 m²,,500 m²,,,,,,,,,,07/02/2024,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbt19841,RBT19841,Maison à vendre,699000,Molenstraat 4,9660 Brakel,Normal,,2,,,,Oui,,,,,,2,4,Oui,477 m²,Non,355 kWh/m²/an,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,214 m²,,2,,Double vitrage,,,Non,Non,,,1,Oui,,Oui,Non,Non,,,,,Oui,Non,,,Oui,,,,,,Non,,,32 m²,,,,,,,,,25 m,,,,,,2,,,,24 m²,,,24 m²,,,24 m²,,380 m²,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9660/brakel/rwc39235,RWC39235,Villa à vendre,370550,,9660 Brakel,Excellent,Non,3,,Oui,,,,Oui,,Oui,,1,4,Oui,389 m²,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,2025,A convenir,389 m²,Super équipée,,Gaz,Double vitrage,,,,,,,1,,,,Oui,,,Oui,Oui,,Oui,,1,Américaine,Oui,Oui,,,,,,Oui,Oui,,,,,,Oui,,,,,,,,Oui,Oui,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,Non,389 m²,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbs88759,RBS88759,Maison à vendre,645000,Kasteelstraat 70,9660 Brakel,Excellent,Oui,5,,Oui,,,,,,Oui,1,1,2,Oui,1176 m²,,170 kWh/m²/an,,17/03/2035,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,1960,A l’acte,439 m²,,3,Gaz,Double vitrage,,,Non,,Sud-est,,1,Oui,,Non,Non,Non,,Oui,,,Oui,Non,2,,Oui,,,,,,,,Oui,50 m²,,,12 m²,,,,,,11 m,,11 m,,,,,,,50 m²,14 m²,,,14 m²,14 m²,12 m²,,,900 m²,,,,,,,,,,08/05/2021,,,,,20 m²,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbs83098,RBS83098,Maison à vendre,325000,Hovendaal 46,9660 Brakel,,,3,,Oui,,,,,,Oui,1,1,,Oui,537 m²,,197 kWh/m²/an,20231106-0002995616-RES-1,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,1972,A l’acte,116 m²,,1,Electrique,,,,Non,,Ouest,,2,Oui,,,,Non,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/vbc48818,VBC48818,Maison à vendre,388667,,9660 Brakel,Nouveau,,3,,,,,,,,,,1,4,,887 m²,,,,,,,Information non communiquée,Information non communiquée,,,126 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,9 m,,9 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbs56314,RBS56314,Maison à vendre,351665,Hollebeekstraat 11 D,9660 Brakel,Nouveau,,3,,Oui,,,,,,Oui,1,1,2,Oui,233 m²,Non,,,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,2023,Immédiatement,148 m²,Super équipée,2,Air pulsé,Double vitrage,,,Non,Non,Sud-ouest,3,,Oui,,Oui,Oui,Non,Oui,Oui,Oui,,Oui,Non,,,Oui,Oui,,,,,Non,Oui,Oui,38 m²,,,11 m²,,,,,,8 m,,8 m,,,,,,,20 m²,16 m²,,,11 m²,10 m²,,,,161 m²,,,,,,Nord-ouest,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbr43352,RBR43352,Maison à vendre,427900,Haeyershoek 24,9660 Brakel,Nouveau,Non,3,,Oui,,,,,,,,1,2,Oui,695 m²,Non,8 kWh/m²/an,,,,,Information non communiquée,Information non communiquée,2023,,181 m²,Super équipée,2,Air pulsé,Double vitrage,Oui,,Non,,,,1,Oui,,,,Non,,Oui,Oui,,Oui,Non,,,Oui,Oui,,,,,,,,25 m²,,,,,,,,,10 m,,,,,,,,,,14 m²,,,14 m²,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbr43351,RBR43351,Maison à vendre,375000,Haeyershoek 24,9660 Brakel,Nouveau,Non,3,,Oui,,,,,,Oui,,1,2,Oui,695 m²,Non,8 kWh/m²/an,,,,,Information non communiquée,Information non communiquée,2023,,181 m²,Super équipée,2,Air pulsé,Double vitrage,Oui,,Non,,,,1,Oui,,,,Non,,Oui,Oui,,Oui,Non,,,Oui,Oui,,,,,,,,25 m²,,,,,,,,,10 m,,,,,,,,,,14 m²,,,14 m²,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9660/brakel/rbl90463,RBL90463,Appartement à vendre,325000,Tenbossestraat 15,9660 Brakel,Nouveau,,2,,Oui,,,,,,Oui,1,1,2,,,,101 kWh/m²/an,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,2023,,130 m²,Super équipée,,Gaz,Double vitrage,,,Non,Non,,,,Oui,,,,Non,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/vbb35777,VBB35777,Maison à vendre,406926,,9660 Brakel,Nouveau,,3,,,,,,,,,,1,4,,887 m²,,,,,,,Information non communiquée,Information non communiquée,,,140 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,10 m,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/brakel/rbg55208,RBG55208,Maison à vendre,189000,warande 22,9660 Brakel,,,4,,Oui,,,,,,Oui,1,1,2,Oui,392 m²,,838 kWh/m²/an,20230117-0002780951-RES-2,,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,2,Gaz,,,,Non,,Ouest,,,Non,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,135 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9660/everbeek/rbt47144,RBT47144,Villa à vendre,875000,,9660 Everbeek,Normal,Non,5,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,4,Oui,891 m²,Oui,184 kWh/m²/an,3340438,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,2006,A convenir,300 m²,,2,Mazout,,,,Non,,Sud-ouest,,3,Oui,,,,Non,,Oui,,,Oui,Non,,,,,,,,,,,,38 m²,16 m²,,,,,,,,13 m,164 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/nederbrakel/rbt34664,RBT34664,Maison à vendre,335000,Rondplein 2A,9660 Nederbrakel,,,3,,,,,,,,,,1,2,Oui,,,30 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,,179 m²,,2,Non specifié,,,,Non,,,,,Oui,,Oui,Non,Non,,Oui,,,,Non,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9660/everbeek/rbt26857,RBT26857,Villa à vendre,599000,Hemelrijk 5,9660 Everbeek,Excellent,Non,4,Oui,Non,Non,Non,Oui,Non,Non,Oui,1,1,4,,4632 m²,,315 kWh/m²/an,UC: 3534084-RES-1,,"oui, attestation conforme",Zone agricole d'intérêt paysager,Information non communiquée,Information non communiquée,,,,,3,,,Oui,,,,,,,Oui,,Oui,,,,Oui,Oui,,Oui,,,,,,,,,,,,Oui,44 m²,,,,,,,,,,,,,,,,,,,42 m²,,,16 m²,36 m²,,,,,,,,13 m²,,,,,,,,,,,,20 m²,,,,,,,,,,8 m²
https://immovlan.be/fr/detail/maison/a-vendre/9660/opbrakel/rbt26804,RBT26804,Maison à vendre,869000,Doensberg 4,9660 Opbrakel,,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,2,2,,Oui,3219 m²,Oui,206 kWh/m²/an,20250408-0003569440-RES-1,08/04/2035,"oui, attestation conforme",Zone agricole d'intérêt paysager,Pas de risque d’inondation,Information non communiquée,1993,A convenir,287 m²,,2,,,,,Non,,Sud,,6,Oui,,Oui,Non,Non,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/zegelsem/rbt20121,RBT20121,Maison à vendre,1475000,Sint-Ursmarsstraat 16 - 18,9660 Zegelsem,À rénover,Non,10,Non,Oui,Non,Non,Non,Non,Non,,,1,,Oui,9450 m²,,678 kWh/m²/an,20240813-0003339350-RES-1,13/08/2034,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,1792,A l’acte,622 m²,,,Gaz,,,,Non,,Sud,,,Non,,Oui,Non,Non,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/nederbrakel/rbs95941,RBS95941,Maison à vendre,389000,Beekstraat 13,9660 Nederbrakel,,,5,,Oui,,,,,,Oui,2,2,,Oui,596 m²,,282 kWh/m²/an,20231115-0003040571-RES-1,15/11/2033,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,,A convenir,320 m²,Super équipée,2,Gaz,,,,Non,,Est,,,Oui,,,,Non,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9660/michelbeke/rwc38159,RWC38159,Villa à vendre,325550,,9660 Michelbeke,Excellent,,3,,Oui,,,,,,,,1,4,Oui,,,,,,,,Information non communiquée,Information non communiquée,2025,A convenir,569 m²,Super équipée,,Non specifié,,,,,,,,,,,,,,,Oui,,,Oui,,,Américaine,Oui,Oui,,,,,,,Oui,,,,,,Oui,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9660/opbrakel/rbs36155,RBS36155,Maison à vendre,350000,Boekkouter 53,9660 Opbrakel,À rénover,,2,Oui,Oui,,,,,,Oui,,1,4,Oui,2269 m²,,706 kWh/m²/an,20241028-0003426119-RES-1,,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,1952,A l’acte,,Equipée,1,Mazout,,,,,,Sud,,,Oui,,Oui,,Non,,,,,,,1,,,,,,,,,,,,,,,Non,,,,,,,,"oui, attestation conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
