ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Étage_de_lappartement,Surface_de_la_terrasse,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Ascenseur,Surface_du_jardin,Raccordé_au_gaz_de_ville,Piscine_extérieure,Référence_PEB,Surface_salle_à_manger,Surface_du_dressing,Alarme_antieffraction,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Porte_de_garage_motorisée,Clef_électronique,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Surface_constructible,Balcon,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Parlophone,Orientation_de_la_terrasse,Largeur_de_la_façade,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_du_garage,Largeur_du_terrain_à_rue,Surface_des_caves,Orientation_du_jardin,Surface_du_grenier,Surface_chambre_à_coucher_5,Maison_basse_énergie,Compteur_Bihoraire,Pompe_à_chaleur,Station_de_charge_électrique,Surface_du_bureau,Adoucisseur_deau,Porte_daccès_sécurisée,Espace_ouvert_sensible_à_leau__WORG,Attestation__Citernes_à_mazout,Surface_de_la_véranda,Affectation_urbanistique_la_plus_récente,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Citation_pour_infraction_urbanistique
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc35803,VBC35803,Maison à vendre,297000,Quartier de Tavier 72,5620 Florennes,Normal,,,A l’acte,6,13 m²,9 m²,21 m²,18 m²,323 m²,Non,16 m²,,,Oui,2,,,,,2,2,4,Mazout,Double vitrage,,,4,2,4,Oui,Oui,522 m²,Oui,200 kWh/m²/an,,,,,,,,Information non communiquée,Information non communiquée,,27 m²,,,,,,Oui,Non,287 m²,,Non,,,,,,,,,,,,,,,,,,,,,,21 m,27 m,,,,21 m,,Est,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc31096,VBC31096,Maison à vendre,150000,,5620 Florennes,,,,A l’acte,3,14 m²,13 m²,12 m²,,125 m²,,34 m²,Oui,Oui,,,,Semi-équipée,Kitchenette,12 m²,1,,,,Double vitrage,,,2,,,,,100 m²,,301 kWh/m²/an,70527 kWh/an,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/corenne/vbc28700,VBC28700,Maison à vendre,299000,Rue de la Station 237,5620 Corenne,Normal,,,,6,18 m²,14 m²,18 m²,14 m²,261 m²,Non,44 m²,Oui,Oui,Oui,1,,,,18 m²,1,1,2,Mazout,Double vitrage,,,3,3,,Oui,Oui,930 m²,,327 kWh/m²/an,104010 kWh/an,,,"oui, attestation non conforme",,,Non,Information non communiquée,Information non communiquée,,35 m²,,,,,,,Non,739 m²,,,,,,,Oui,,,,10 m²,,,,,,,,,,,,,12 m,73 m,Non,Non,,12 m,24 m²,,,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5620/florennes/vbc01260,VBC01260,Appartement à vendre,184000,,5620 Florennes,,Non,,A l’acte,2,13 m²,12 m²,,,95 m²,Non,26 m²,,,,,,,Indépendante,,1,,2,Gaz,Double vitrage,,,,,2,,,,Oui,145 kWh/m²/an,17365 kWh/an,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,1,,,,,,,,,,,,,,,,,,,,3 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5620/florennes/vbc01259,VBC01259,Appartement à vendre,179000,,5620 Florennes,,Non,,A l’acte,2,12 m²,11 m²,,,78 m²,Non,37 m²,,,,,,,Indépendante,,1,,2,Gaz,Double vitrage,,,,2,2,Oui,Oui,,Oui,158 kWh/m²/an,16264 kWh/an,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,0,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/5620/florennes/vbc01305,VBC01305,Duplex à vendre,199000,,5620 Florennes,,Non,,A l’acte,4,16 m²,15 m²,15 m²,11 m²,123 m²,Non,42 m²,,,,,,,Indépendante,,1,,2,Gaz,Double vitrage,,,,2,2,,,,Oui,117 kWh/m²/an,16469 kWh/an,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,1,,,,,,,,Non,,,,,,,,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc84450,VBC84450,Maison à vendre,175000,Rue du Boukau 23,5620 Florennes,À rénover,Non,,A l’acte,3,,,,,138 m²,,,Non,Oui,Oui,,1,,,,1,,1,Gaz,Double vitrage,,,3,2,,Oui,,671 m²,,749 kWh/m²/an,,,,"oui, attestation non conforme",,,Non,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,Non,,,,,20250530022416,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/chalet/a-vendre/5620/florennes/vbc79204,VBC79204,Chalet à vendre,165000,Rue de la Sartelle 193,5620 Florennes,Remis à neuf,Non,,A l’acte,1,16 m²,,,,98 m²,Non,46 m²,Oui,,,,,,,,1,,1,,Double vitrage,Non,,4,,,Oui,Oui,1166 m²,Oui,309 kWh/m²/an,30419 kWh/an,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc75189,VBC75189,Maison à vendre,145000,Place de la Chapelle 6,5620 Florennes,À rénover,,,A l’acte,2,,,,,185 m²,,,Oui,Oui,,,,,,,1,,2,Mazout,Double vitrage,,,2,1,,Oui,Oui,130 m²,,307 kWh/m²/an,56712 kWh/an,,,"oui, attestation non conforme",,,Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,20250306000877,,,,Oui,,,,,Non,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,"non, pas d'attestation",,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5620/florennes/vbc75086,VBC75086,Immeuble mixte à vendre,87000,Rue de Mettet 13,5620 Florennes,À rénover,,,A l’acte,2,11 m²,,,,137 m²,Non,15 m²,,Oui,,,,,,6 m²,1,1,2,Gaz,Double vitrage,Non,,2,3,,,Oui,60 m²,Oui,,,,,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,,7 m²,,,,,,,Non,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,8 m,14 m,,,,8 m,,,52 m²,,,,,,49 m²,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc73754,VBC73754,Maison à vendre,160000,,5620 Florennes,,,,A l’acte,4,14 m²,16 m²,16 m²,13 m²,128 m²,,24 m²,Oui,,Oui,2,,,,14 m²,1,,,,Double vitrage,,,3,,,Oui,Oui,317 m²,,353 kWh/m²/an,57686 kWh/an,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5620/florennes/vbc68326,VBC68326,Villa à vendre,310000,Rue de Buciumi 12,5620 Florennes,Normal,,2000,A l’acte,4,21 m²,17 m²,14 m²,13 m²,135 m²,Non,31 m²,,,,,,,,9 m²,1,1,1,Mazout,Double vitrage,Non,,4,,,Oui,Oui,716 m²,Oui,241 kWh/m²/an,34158 kWh/an,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,90 m²,,,,,,Oui,Non,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc67446,VBC67446,Maison à vendre,289000,Allée des Pinsons 25,5620 Florennes,Normal,Non,,Immédiatement,3,10 m²,12 m²,16 m²,,100 m²,Oui,45 m²,Oui,,Oui,1,,Equipée,,,1,,1,,Double vitrage,Non,,,,1,Oui,Oui,,Oui,715 kWh/m²/an,69124 kWh/an,,,"oui, attestation conforme",,,Non,Pas de risque d’inondation,Information non communiquée,,18 m²,,,,,,Non,Non,2910 m²,Oui,,20240325018833,,,Non,,,Non,Non,,,Non,Non,Non,Non,Non,2910 m²,Non,Non,Non,,,,,Non,Non,,,,,,,,,,,,,,,pas d'application,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5620/saint-aubin/vbc67016,VBC67016,Villa à vendre,260000,Rue Saint-Fiacre 85A,5620 Saint-Aubin,Normal,,1979,,4,12 m²,12 m²,16 m²,20 m²,137 m²,Non,11 m²,Oui,,Oui,1,,Semi-équipée,Kitchenette,12 m²,1,,,Mazout,Double vitrage,Non,,4,,,Oui,Oui,800 m²,Oui,370 kWh/m²/an,60605 kWh/an,06/03/2034,,,,,,Information non communiquée,Information non communiquée,,,,Oui,,,,,Non,,Oui,Non,,27 m²,,,Oui,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc66557,VBC66557,Maison à vendre,130000,Rue de Franchimont 50A,5620 Florennes,À rénover,Oui,,,2,24 m²,6 m²,,,87 m²,Non,37 m²,,Oui,,,,,Indépendante,,1,,1,,Double vitrage,Non,,3,,,Oui,,437 m²,Oui,275 kWh/m²/an,34704 kWh/an,15/04/2035,68,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,Oui,,,,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5620/florennes/vbc48827,VBC48827,Immeuble mixte à vendre,80000,Rue Degrange 7,5620 Florennes,,Non,,,,,,,,250 m²,Non,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,638 kWh/m²/an,,,,pas d'application,,,,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,,,,20220607020530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5620/florennes/vbc58813,VBC58813,Immeuble mixte à vendre,297000,Rue du Chapitre 6,5620 Florennes,À rénover,,1990,,5,10 m²,14 m²,,,,Non,,Oui,,,,,,,,3,,,,Double vitrage,Non,,2,3,,,,124 m²,Oui,,,,,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Non,,,Non,,,,,,,,,,,,,,,,,,,,Oui,,9 m,16 m,,,,9 m,27 m²,,,,,,,,34 m²,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5620/florennes/vbc57749,VBC57749,Villa à vendre,280000,Rue de Noupré 16,5620 Florennes,Normal,,,A convenir,3,,,,,130 m²,Non,28 m²,,,Oui,1,,Super équipée,,,1,1,2,Mazout,,,,4,,2,Oui,Non,490 m²,,336 kWh/m²/an,44045 kWh/an,,,"non, pas d'attestation",,,,Information non communiquée,Information non communiquée,,,,,,,,Oui,Non,,,,20250306002847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/morville/vbc49581,VBC49581,Maison à vendre,150000,Allée des Pinsons 27,5620 Morville,,Non,,A l’acte,1,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5620/florennes/vbc44273,VBC44273,Villa à vendre,345000,Rue d'Omezée 144,5620 Florennes,Excellent,,,,3,19 m²,31 m²,34 m²,,,Non,,,,,,,Equipée,Américaine,,2,,2,Gaz,Double vitrage,Oui,,4,,5,Oui,Oui,1047 m²,Oui,51 kWh/m²/an,9000 kWh/an,09/10/2024,7,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,,,,,,,,Oui,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,Nord-ouest,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5620/rosee/vbc37748,VBC37748,Appartement à vendre,149000,,5620 Rosée,Normal,,,A l’acte,2,,,,,110 m²,Non,,,,,,,Super équipée,,,1,,1,,,,,,,1,Non,Non,,Oui,425 kWh/m²/an,46741 kWh/an,04/02/2035,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,2,,,,,,,,Non,,,,20250204005578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc34909,VBC34909,Maison à vendre,218500,,5620 Florennes,Normal,,,,3,,,,,172 m²,,,Oui,Oui,Oui,,,,,,2,,,,Double vitrage,,,,,,Oui,,200 m²,,565 kWh/m²/an,97310 kWh/an,05/02/2035,,,,,,Information non communiquée,Information non communiquée,,,Oui,,,,,,,200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbc29379,VBC29379,Maison à vendre,150000,Rue du Chapitre 21,5620 Florennes,À rénover,,,,3,,,,,190 m²,Non,,,Oui,,,,Semi-équipée,,,1,,,Mazout,,,,,,,Non,Non,,,268 kWh/m²/an,88339 kWh/an,,268,pas d'application,,,,Information non communiquée,Information non communiquée,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/morville/vbc13127,VBC13127,Maison à vendre,230000,Chemin des Combles 156 1,5620 Morville,Normal,,2008,,1,,,,,108 m²,Non,,Non,Non,Oui,1,,,,,2,,,Gaz,Double vitrage,Non,Sud,,1,1,Oui,,2062 m²,,319 kWh/m²/an,36799 kWh/an,12/05/2025,,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,,,Oui,,,,,,Non,,,,20150512008980,,,,,,,,4 m²,,,,,,,,,,Non,,,,,,Non,10 m²,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vbb76153,VBB76153,Maison à vendre,229000,Avenue de l'Europe 1,5620 Florennes,Normal,Non,,A l’acte,3,13 m²,13 m²,1 m²,,221 m²,Non,27 m²,,Oui,Oui,1,,Equipée,Américaine,11 m²,1,1,1,Mazout,Double vitrage,Non,,4,3,,Oui,Oui,951 m²,Oui,477 kWh/m²/an,98497 kWh/an,17/07/2034,118,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,,,,Oui,,,,,Non,,,Non,,14 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5620/florennes/vaz79778,VAZ79778,Maison à vendre,79900,Rue de la Collégiale 4,5620 Florennes,,Non,,A l’acte,2,,,,,80 m²,Non,,Non,Non,,,,,,,1,,1,Gaz,,,,2,,,,,,Oui,304 kWh/m²/an,,13/11/2032,,pas d'application,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,,Oui,,20221113006409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8370/blankenberge/rbt70306,RBT70306,Appartement à vendre,499900,,8370 Blankenberge,,Non,2025,,3,,,,,225 m²,,,Non,Non,Oui,1,,,,,2,,2,,,,,,3,1,Oui,Oui,,Oui,,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,3,,Non,Non,Non,Non,Non,,Oui,,Oui,Non,,,,,,,,,,,,,,,,225 m²,,,,Oui,,,,,,,,,Sud,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8480/ichtegem/rbt70221,RBT70221,Maison à vendre,245000,Moerdijkstraat 135 A,8480 Ichtegem,,Non,,A l’acte,3,,,,,,,,Non,Non,Oui,1,,,,,1,,1,Gaz,Simple vitrage,Oui,,3,,,Oui,,936 m²,,504 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,,,Non,20240606-0003274355-RES-1,,,Non,,,,,,,,Non,,,,,Non,,Non,,,,53 m,,,,18 m,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8470/gistel/rbt70220,RBT70220,Maison à vendre,430000,Molenkotstraat 13,8470 Gistel,,Non,2025,,3,,,,,195 m²,,,Non,Non,,,,,,,1,,2,,,Non,,4,,,Oui,,3069 m²,,,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,,,Non,,,,Non,,,,,,,,,,,,,Non,,Non,,,11 m,,,,,,,,,,,,,,,,,,,,Zone agricole,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1090/jette/rbt70097,RBT70097,Appartement à vendre,,,1090 Jette,Nouveau,Non,,,3,,,,,110 m²,,,Non,Non,,,,,,,2,,,,,,,2,1,,Oui,Oui,,,,,,,"non, pas d'attestation",,,,Information non communiquée,Information non communiquée,0,8 m²,Non,Non,Non,Non,Non,,,,,Non,,,,,,,,,,,,,,,,110 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/1000/bruxelles/vbc89694,VBC89694,Duplex à vendre,299000,Rue une Personne 8,1000 Bruxelles,Excellent,,2017,A l’acte,1,20 m²,,,,55 m²,Non,25 m²,Oui,,,,,Super équipée,,4 m²,1,1,1,Gaz,Double vitrage,Non,Sud-est,2,4,,,,,Oui,119 kWh/m²/an,6555 kWh/an,18/08/2029,23,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,3,,,,,,,,Oui,,Oui,Non,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8610/kortemark/rbt69991,RBT69991,Maison à vendre,319000,Ichtegemstraat 54,8610 Kortemark,,Non,1950,,4,,,,,237 m²,,,Non,Oui,Oui,1,,Equipée,,,1,,2,Non specifié,Double vitrage,Non,Est,2,2,2,Oui,Oui,539 m²,,345 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,,28 m²,Non,Non,Non,Non,Non,,Non,,,Non,20250418-0003580658-RES-1,,,Non,,,,,,,,Non,,,,,Non,,Non,,,9 m,59 m,,,,9 m,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9090/gontrode/rbt69725,RBT69725,Maison à vendre,439000,Hovenierstraat 52,9090 Gontrode,Excellent,Non,1935,,3,,,,,155 m²,Oui,,Non,Oui,,,,Equipée,,,1,,1,Gaz,Double vitrage,,,3,,,Oui,Oui,130 m²,Oui,133 kWh/m²/an,,13/06/2035,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Oui,Non,,,,Oui,Non,20250613-0003624057-RES-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/3550/zolder/rbt69836,RBT69836,Duplex à vendre,337000,Dorpsstraat 15 12,3550 Zolder,Excellent,Non,2005,A l’acte,3,,,,,156 m²,Non,,Non,Oui,,,,,,,1,1,2,Gaz,Double vitrage,,,,,,,Oui,,Oui,148 kWh/m²/an,,,,pas d'application,,,Non,Pas de risque d’inondation,Information non communiquée,,25 m²,Non,Non,Non,Non,Non,Non,,,Oui,Non,20210624-0002433440-RES-1,,,Non,Oui,,,,,Non,Non,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,Non,,pas d'application,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1030/schaerbeek/vbc89520,VBC89520,Appartement à vendre,215000,,1030 Schaerbeek,À rénover,,1908,,3,10 m²,12 m²,10 m²,9 m²,130 m²,Non,,,,,,,Semi-équipée,Kitchenette,,1,1,1,Gaz,,Non,,2,3,,,Oui,,Oui,436 kWh/m²/an,27156 kWh/an,11/07/2028,87,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,0,2 m²,,,,,,,Non,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6000/charleroi/vbc89510,VBC89510,Maison à vendre,109000,Rue de la Cité 22,6000 Charleroi,À rénover,,,,2,13 m²,7 m²,32 m²,,112 m²,,13 m²,Oui,Oui,,,,,,15 m²,1,1,1,Gaz,Double vitrage,,,2,,,Oui,Oui,140 m²,Oui,282 kWh/m²/an,31733 kWh/an,,,,,,,Information non communiquée,Information non communiquée,,,Oui,Oui,,,,,,,Oui,,,11 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8551/heestert/rbt69423,RBT69423,Maison à vendre,,,8551 Heestert,,Non,2015,A partir du : 01/01/2026,3,,,,,170 m²,,,Non,Oui,Oui,2,,Equipée,,,1,,2,Non specifié,,Non,Sud-est,4,2,1,Oui,Oui,495 m²,,72 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Oui,Non,,,Non,34042-G-2014_186/EP11942/E501/D01/SD001,,,Oui,,,,,,,Oui,Non,,,,,Non,,Non,,,10 m,30 m,,,,16 m,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",35,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1082/berchem-sainte-agathe/vbc89484,VBC89484,Maison à vendre,570000,Avenue René Comhaire 110,1082 Berchem-Sainte-Agathe,Normal,,1922,A l’acte,4,14 m²,14 m²,14 m²,13 m²,190 m²,,18 m²,Oui,Oui,Oui,,,Super équipée,,11 m²,1,,2,Gaz,Double vitrage,Non,,2,,,Oui,Oui,,Oui,208 kWh/m²/an,39467 kWh/an,18/06/2035,41,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,25 m²,,Oui,,,,,Non,115 m²,Oui,Non,,14 m²,,Oui,Oui,,,,,,,,,,,,,,,,,7 m,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9990/maldegem/rbt69345,RBT69345,Appartement à vendre,295000,Stationsstraat 94 B2,9990 Maldegem,,Non,2004,A partir du : 01/10/2025,2,,,,,84 m²,,,Non,Non,Oui,1,,Equipée,,,1,,1,Non specifié,,Non,,,3,,,,,,0 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,2,,Non,Non,Non,Non,Non,,Non,,,Non,20221103-0002715785-RES-1,,,Non,,,,,,,,Non,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8620/nieuwpoort/rbt69334,RBT69334,Appartement à vendre,185000,Brugsevaart 40 0103,8620 Nieuwpoort,,Non,2001,A l’acte,1,,,,,55 m²,,,Non,Non,,,,,,,1,,1,Electrique,Double vitrage,Non,Nord-ouest,,,,,Oui,,,306 kWh/m²/an,,,,,,,Oui,Pas de risque d’inondation,Information non communiquée,,6 m²,Non,Non,Non,Non,Non,,Non,,,Non,20250617-0003626308-RES-1,,,Non,,,,,,,,Non,,,,,Non,,Non,,,,45 m,,,,95 m,,,,,,,,,,,,,,,Zone d'extension d'habitat,,,,,,,,,,,,,,,
